modzcta,Total Population,Land Area (sq miles),Population Density (per sq mile)
10001,27004.0,1.1535156992071898,23410.171199715638
10002,76518.0,1.5345093987688287,49864.797218832355
10003,53877.0,1.008317715952091,53432.56311739731
10026,38265.0,0.5818475419852318,65764.65008246305
10004,4579.0,0.25687629348703944,17825.700993427916
10005,8801.0,0.1300241206668958,67687.4410290916
10006,3736.0,0.1694150236563238,22052.353559734285
10007,7506.0,0.3163264880924805,23728.648350831634
10009,58418.0,1.0574376788341584,55244.8632853775
10010,32410.0,0.6580146262300081,49254.224310617574
10011,50772.0,1.085708899813991,46763.916192175
10012,21216.0,0.5624423765721962,37721.19755502931
10013,29453.0,0.9444738605977715,31184.558121448445
10014,29461.0,0.8799814043238082,33479.116553193875
10016,54369.0,0.9285239672638758,58554.223603093014
10017,14486.0,0.6343460591379058,22836.115699507747
10018,8659.0,0.5425153215092606,15960.839549952125
10030,31268.0,0.4816749554563028,64915.14587960887
10019,42766.0,1.211363925567011,35304.0065808318
10021,40642.0,0.6652278923932003,61094.85255314202
10022,33586.0,0.770938565080287,43565.079659106545
10023,65706.0,0.8602650424526671,76378.78648732287
10024,62774.0,1.487433399684162,42202.897967283294
10025,96988.0,1.312413861917303,73900.46906264036
10027,65806.0,1.5232126766472407,43202.10894308356
10028,45717.0,0.548404586996846,83363.63532324525
10029,75614.0,1.4156905353256524,53411.3904933372
10031,61044.0,1.1330578292358564,53875.44962393365
10032,60480.0,1.1415012333976033,52982.859965893564
10033,58711.0,1.0413699303362023,56378.62040153721
10034,41570.0,1.8887731643910062,22008.99545997274
10037,19138.0,0.44985342444032284,42542.74605958642
10035,38595.0,2.483466510514718,15540.777311307847
10036,30930.0,0.7885281133926536,39224.98066292555
10038,23343.0,0.48120935277602334,48509.03222337179
10040,43653.0,0.6657715475057346,65567.53613689686
11104,26939.0,0.6777440415036143,39748.04402593385
11105,38756.0,2.9294861993331884,13229.623682412863
10039,29887.0,0.7587543201267991,39389.56155795652
10128,56695.0,0.7969074826767456,71143.76666356079
10044,11846.0,0.39462682461019727,30018.233078050864
10065,,0.6630449756272695,
10069,,0.1489264690567031,
10075,,0.33921049395431924,
10280,8843.0,0.18883857497707493,46828.355917606044
10282,,0.1122098786422693,
10301,40331.0,6.113578637986949,6596.954482502577
11106,40198.0,1.492078066203538,26940.94961283111
10302,18567.0,2.0484842936794077,9063.774644154424
10303,27083.0,5.326292711046526,5084.774996280415
10304,44864.0,6.502052772296323,6899.974757380419
10451,51311.0,1.8094179011105602,28357.738678559013
10305,42211.0,6.98456088588989,6043.472265418153
10306,56232.0,13.00968592241387,4322.318027917962
10307,14755.0,3.1346731738953406,4707.029786350746
10308,30075.0,3.409716630406172,8820.381063870815
10309,34740.0,11.566665783438902,3003.4584425998173
10310,26239.0,3.0578055023079487,8580.9905110693
10312,63473.0,13.381312180952124,4743.406262530203
10314,94355.0,24.941621766014507,3783.033873465609
10456,88575.0,1.7789716993917681,49789.999486941735
10452,78624.0,1.7308591501495607,45424.84002421932
10453,80385.0,1.6174113597045137,49699.78695752799
10454,41073.0,1.8260641015857169,22492.63865618575
10455,44380.0,1.250870705178691,35479.28640127532
10457,79817.0,1.8564181648130742,42995.16214227353
10458,82678.0,1.7585530952424342,47014.78745434297
10459,51964.0,1.4277012949528636,36396.9691585351
10460,59852.0,2.2966081181932134,26061.041727522388
10461,50868.0,4.175829209373437,12181.53268477005
11004,15702.0,2.2791871906260845,6889.298107930625
11101,34279.0,4.537996186871812,7553.774526996601
10462,77230.0,2.5882731759073363,29838.426916790384
10463,70296.0,2.7449459957549034,25609.246997468705
10464,4292.0,5.745894692113949,746.968092869963
10465,46311.0,5.923768646502666,7817.827258892285
10466,72273.0,3.5356123125524603,20441.438034201223
10467,98713.0,4.101074793627974,24070.031630092402
10468,81397.0,1.8778016482121773,43346.96376345003
10469,71862.0,4.126398408344403,17415.18701991564
10470,15390.0,2.5255197748971763,6093.795088429504
11102,27069.0,1.3776340612583455,19648.904423337855
11109,,0.08528162273415055,
10471,22888.0,4.480981167897352,5107.809906449557
10472,65283.0,1.8466643138267584,35351.850095980364
10473,60087.0,3.7758957784017384,15913.309986917497
10474,11280.0,2.6860831553494795,4199.423229893412
11103,34752.0,1.2409002501234325,28005.474248670038
10475,43517.0,3.3356698877147903,13045.955224847727
11201,69755.0,2.441284870458058,28573.068568975268
11203,78506.0,3.7345737027396755,21021.40866637822
11204,80575.0,2.7621362881005864,29171.26151490819
11205,50319.0,1.6385317068770424,30709.811588513865
11206,89949.0,2.496964147009335,36023.34463141321
11207,96801.0,4.641528284519043,20855.415299926488
11209,71812.0,3.7341202928579937,19231.3033239315
11208,108180.0,6.405495196616273,16888.624014135003
11210,63426.0,2.850504917250298,22250.794803463472
11211,65511.0,3.999886625887217,16378.214216376437
11212,84006.0,2.676993330651478,31380.728161753075
11213,69131.0,1.8987924290634715,36407.876364925796
11218,73318.0,2.4837757679569124,29518.76773494309
11214,90796.0,3.7536649616893314,24188.626562754656
11215,72014.0,3.822164897555078,18841.1546676244
11216,62373.0,1.629653147500503,38273.78856394394
11217,43045.0,1.3116298202937622,32817.94858122342
11219,92283.0,2.576065442979518,35823.235877604115
11220,93008.0,3.0180335821181687,30817.41719213194
11221,91236.0,2.4098281596205235,37859.960941931626
11222,40137.0,2.663758126229286,15067.80949996252
11223,80113.0,3.5939290419126713,22291.20248778319
11224,47893.0,2.7710299860533123,17283.465080149654
11225,58476.0,1.538106851732427,38018.16495007242
11226,101053.0,2.243365430378143,45045.26932242441
11228,44196.0,2.5544687424535897,17301.44482314133
11230,90245.0,3.1970415290716754,28227.659596966332
11415,20315.0,1.0590317974433008,19182.61571469731
11229,81109.0,3.7473244741021636,21644.509452156057
11231,38829.0,2.43636427997922,15937.271909244695
11358,37647.0,3.3998208143622612,11073.23063643924
11232,28137.0,1.9170162883300899,14677.496571774098
11233,83125.0,2.345183970773312,35444.980451827825
11234,89976.0,12.378974034635345,7268.453730353954
11235,83069.0,3.891208066780539,21347.86898422747
11236,100082.0,6.04476962937446,16556.793084992543
11237,47183.0,1.7094568056532902,27601.16537836031
11238,58047.0,1.9228261945563079,30188.375925154454
11239,16808.0,0.7230438130682119,23246.170835313318
11354,53371.0,3.8300863692827365,13934.672708175725
11355,79495.0,3.0429727732672793,26124.12463836973
11356,27632.0,2.7551414773238383,10029.249034006012
11357,42792.0,4.9083032609418,8718.287710647512
11360,19719.0,2.864769975731908,6883.275155437942
11372,67001.0,1.2899525539941763,51940.670059948956
11361,29544.0,3.113809794111045,9488.055454085452
11362,18426.0,4.435518518374343,4154.193004418635
11416,27794.0,1.1580350688638084,24001.00026959437
11363,7365.0,1.4821918549456288,4968.992357787697
11364,38124.0,4.31046403854939,8844.523387516754
11373,102618.0,2.661729422762908,38553.12982695335
11365,46424.0,4.388927106003735,10577.528147253874
11366,13659.0,1.909420309207877,7153.480003397699
11367,43286.0,4.472074258222634,9679.17737958212
11374,47230.0,1.633202631149113,28918.640650712896
11368,112750.0,4.6501355937061675,24246.604798493205
11417,31200.0,1.9346380571349286,16127.047581295461
11369,32177.0,3.812194980785344,8440.54413852968
11370,28164.0,2.5594505025606233,11003.924464186002
11375,75212.0,3.45390197092258,21775.95097752874
11379,38261.0,3.614519941340265,10585.361436908497
11377,86977.0,4.437766076797361,19599.275512685294
11378,39250.0,4.483052246284759,8755.195755866478
11421,41552.0,2.2278429124393138,18651.22525829427
11422,32296.0,3.523907033009489,9164.827476285194
11385,105521.0,6.350323346122419,16616.634185160405
11411,21329.0,2.093544367647523,10187.985661830993
11412,40593.0,2.866761853960299,14159.878660280989
11413,44832.0,5.457391119607661,8214.91423602108
11414,30374.0,3.991809137697503,7609.081234159378
11420,51153.0,3.663879713254749,13961.4299604173
11418,38317.0,2.852901960789172,13430.885647889814
11419,48096.0,1.9676886602113275,24442.89128282853
11423,29921.0,2.464976898434351,12138.450473513383
11426,19733.0,2.35505773667696,8378.987781354232
11427,25187.0,2.7512388199244335,9154.785043594215
11428,19554.0,1.4476222304439224,13507.667669626519
11436,21349.0,1.3683861357173928,15601.590401095033
11691,70365.0,4.771206890924258,14747.840873102274
11692,24584.0,1.732715597236061,14188.13337815804
11693,13558.0,1.7062268471262436,7946.188411485501
11429,27845.0,2.730747799506725,10196.8405888782
11432,64268.0,3.7434575047181484,17168.085898931247
11433,38865.0,2.7620612367165225,14071.013156175297
11434,68182.0,17.971730079663143,3793.8473200838316
11435,59961.0,2.6413177921494126,22701.16840094649
11694,21788.0,2.317013914515811,9403.482587437575
11697,3946.0,4.489709274993719,878.8987790318607
99999,,9.80929752079141,
